marca,categoria,nombre,descripcion,precio_minorista,precio_mayorista,foto,en_stock
Casio,Metal Caballero,MTP-VD03D-2A,"Reloj clásico con malla de acero, resistente al
agua y con calendario.",350000,350000,/relojes/casio-metal-cab/p01_i000.jpg,si
Casio,Metal Caballero,MTP-VD03D-7A,"Reloj clásico con malla de acero, resistente al
agua y con calendario.",350000,350000,/relojes/casio-metal-cab/p01_i001.jpg,si
Casio,Metal Caballero,MTP-VD03D-2A2,"Reloj clásico con malla de acero,
resistente al agua y con calendario.",350000,350000,/relojes/casio-metal-cab/p01_i002.jpg,si
Casio,Metal Caballero,MTP-VD02D-3A1,"Reloj clásico con malla de acero,
resistente al agua y con calendario.",350000,350000,/relojes/casio-metal-cab/p01_i003.jpg,si
Casio,Metal Caballero,MTP-V002D-7E,"Reloj clásico de caballero con caja de
44 mm, correa de acero inoxidable.",340000,340000,/relojes/casio-metal-cab/p02_i004.jpg,si
Casio,Metal Caballero,MTP-V002D-1E,"Reloj clásico de caballero con caja de
44 mm, correa de acero inoxidable.",340000,340000,/relojes/casio-metal-cab/p02_i005.jpg,si
Casio,Metal Caballero,MTP-V002D-2E,"Reloj clásico de caballero con caja de
44 mm, correa de acero inoxidable.",340000,340000,/relojes/casio-metal-cab/p02_i006.jpg,si
Casio,Metal Caballero,MTP-VD02G-9E,"Reloj clásico de caballero con caja
dorada de 48 mm, brazalete metálico
dorado y esfera negra con ventana de
fecha a las 6.",385000,385000,/relojes/casio-metal-cab/p03_i007.jpg,si
Casio,Metal Caballero,MTP-VD02G-1E,"Reloj clásico de caballero con caja
dorada de 48 mm, brazalete metálico
dorado y esfera negra con ventana de
fecha a las 6.",385000,385000,/relojes/casio-metal-cab/p03_i008.jpg,si
Casio,Metal Caballero,MTP-1335D-2A,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",340000,340000,/relojes/casio-metal-cab/p04_i010.jpg,si
Casio,Metal Caballero,MTP-VD01D-1E2,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",345000,345000,/relojes/casio-metal-cab/p04_i011.jpg,si
Casio,Metal Caballero,MTP-VD01D-3E1,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",340000,340000,/relojes/casio-metal-cab/p04_i012.jpg,si
Casio,Metal Caballero,MTP-VD01D-3B,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",340000,340000,/relojes/casio-metal-cab/p04_i013.jpg,si
Casio,Metal Caballero,MTP-VD01D-1C,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",340000,340000,/relojes/casio-metal-cab/p04_i010.jpg,si
Casio,Metal Caballero,MTP-VD01D-2E,"Reloj analógico con visualización de la fecha,
resistente al agua, con caja y correa de acero
inoxidable.",340000,340000,/relojes/casio-metal-cab/p04_i010.jpg,si
